review_text,label
lumayan lah enggak perlu pulang kampung buat perpanjang stnk,Netral
aplikasi enggak jelas gagal mulu buat verifikasi,Negatif
pelayanan nya sip terima kasih,Positif
proses cepat pengiriman cepat,Positif
pembayaran mudah tapi harus sangat mepet dengan tanggal jatuh tempo kalo enggak mepet enggak akan bisa bayar online pengiriman lama surat yang diterima sedikit basah tolong diperhatikan lagi paking surat nya agar aman dan tidak rusak terima kasih,Positif
sangan efisien waktu,Netral
sangat membantu,Positif
pelayanan memuaskan,Netral
mantap,Positif
mantap proses pengiriman minggu yang penting sampai,Positif
enggak guna,Netral
bagus aplikasi ini memudahkan bagi saya seorang pekerja yang kadang butuh waktu untuk ke samsat dengan aplikasi ini di mudahkan terima kasih,Positif
aplikasi taikk tidak bisa vermuk katanya beda dengan yang di ktp jelas beda di ktp waktu kurus kerempeng sekarang gemuk,Negatif
cepat dan praktis,Positif
bagus sangat membantu,Positif
manta aplikasi nya keren ini sudah membantu banget buat kita yang enggak sempat datang langsung ke samsat pengiriman reguler sesai estimasi rekomended,Positif
verifikasi muka lama kebanyakan buzzer yang ranting,Netral
emak punya baby lumayan kebantu dengan aplikasi ini,Netral
tahun lalu pengiriman hampir sebulan tapi tahun ini cuma hari sudah sampai keren terima kasih signal,Positif
semoga saja aplikasi ini selalu menjadi baik agar memudahkan banyak pemilik kendaraan bermotor mengingat di setiap kantor samsat banyak orang cerdik dan licik yang memanfaatkan ketidaktahuan pemilik kendaraan atas pajak dan lain lain,Netral
sangat membantu,Positif
enggak bisa digunakan kode bayarnya ke semua jenis apk mobilet pembayaran maupun atm tolong diperbaiki sistemnya,Negatif
ah payah masa pas ada pembaruan malah enggak bisa payaahh,Negatif
aplikasi error tidak bisa buat daftar kendaraan,Negatif
sangat mudah digunakan dan memudahkan proses perpanjangan pajak tahunan lebih baik lagi jika pembayaran pajak tahunan bisa dilakukan tanpa nik pasti akan lebih banyak lagi yang bayar pajak tahunan terima kasih,Positif
keren,Positif
sudah ketebak pasti di persulit polis indonesia indonesia masa foto wajah sama di ktp kagak sama padahal foto gue kagak ngeblur,Netral
alhamdulillah sudah datang stnk pajak nya sukses terus signal samsat biar mempermudah cara bayar pajak dari rumah terima kasih,Positif
bahus pelayanan cepat,Positif
aplikasi sangat tidak efektif layanan pajak tidak pernah tersedia saya coba ingin menanyakan di cs harus memasukan semua data yang padahal sudah ada semua di data akun cs bot tidak bisa interaktif saya tidak bisa menyelesaikan permasalahan karena chat bot ini,Negatif
dulu enak sekarang gagal terus dan layanan tidak tersedia,Negatif
pajak online ini memudahkan kita untuk melakukan pajak tanpa harus keluar dari rumah stkn juga bisa diantar sampai rumah dengan selamat,Netral
dari tanggal januari sampai hari ini belum di kirim sntk nya mau cek tidak ada nomer aduan,Netral
kode pembayaran expired dan tidak bisa dibayar,Negatif
alhamdulillah aku sudah coba bayar pajak motor lewat apk signal dan aman ternyata dokumen bisa dikirm ke rumah kita cuma menunggu kang kurir datang beres enggak perlu mengantri,Positif
baru mulai pertama,Netral
bagus,Positif
pengiriman lama hampir minggu jadi terkendala mau kemana mana karena stnk belum dikirm setelah saya chat via dm di tiktok baru dikirim,Netral
good,Netral
sangat membantu,Positif
aplikasi saja sulit masuk nya apalagi di lapangan,Netral
mudah cepat bagus,Positif
enggak bisa login pakai gmail,Negatif
perdana alhamdulillah sesai,Positif
mantap,Positif
proses mudah tidak ribet tinggal munggu di rumah sudah di antar di depan rumah sukses selalu,Negatif
semakin memudahkan untuk yang malas antre keren bekasi semakin bersinar,Positif
mantap,Positif
sangat membantu,Positif
no ribet pengiriman cepat,Negatif
menghemat tenaga dan tidak perlu antri,Netral
bagus pelayananya,Positif
bayar pajak susahnya meminta ampun neger konoha memang top mohon bayar pajak dipermudah seperti bayar pulsa atau kuota,Negatif
sekarang enggak di kasih stiker pengesahan ya,Netral
bagus proses gampang,Positif
prosesnya mudah dan pengiriman dokumennya juga cepat sampai,Positif
sangat membantu,Positif
enggak bisa buat mengecek pajak apa karena pajak sudah telat jadi enggak bisa,Negatif
cepat banget sampenya keren,Positif
pengantaran cepat keren sih mantap,Positif
enggak perlu ribet drng ke samsat samsat keliling dan enggak perlu ribet bwa dokumen,Negatif
mantap lebih simple,Positif
saran pengembangan tambahkan fitur kirim ulang stnk untuk membantu pengguna yang kehilangan stnk nya batasi saja setiap bulan hanya bisa dilakukan sekal oleh pengguna,Positif
sangat membantu untuk bayar pajak kendaraan online proses lumayan cepat,Positif
pengiriman nya yang terlalu lama masak dalam kota kabupaten tangerang saja sampai minggu persis,Netral
gampang cepat hari sampai rumah,Positif
alhamdulillah mantap seminggu jadi enggak perlu repot repot mengantri di samsat,Positif
jos,Netral
simple dan cepat selesai bravo,Positif
mudah dan cepat pelayanannya tidak usah antri dan tidak usah pakai caloan serta pungli tingkatkan sistimnya agar lebih canggih,Positif
ternyata benar bisa dan mudah transaksinya stnk saya diantar hari kemudian layanan seperti ini harus dikembangkan dan ditingkatkan biar seluruh masyarakat bisa taat pajak,Positif
bagus saya kira enggak bakal jadi tapi alhamdulillah sampai dengan selamat aman saran untuk metode pembayaran kalau bisa ya pakai mybca atau bank lain kayak virtual account atau qris biar lebih mudah lagi terima kasih sudah mempermudah untuk byr pajak kendaraan lebih aman dari calo,Positif
sangat praktis dan membantu masyarakat yang sibuk diluar dengan cara online lebih mudah,Positif
bayar pajak jadi lebih mudah,Positif
mengurus pajak stnk motor mudah dan tidak sulit bikin enggak capek ke kantor samsat menunggu hari kerja deh jadi walau hari libur tetap di antarkan stnk nya mantap,Positif
mempermudah sekal buat team mageran tidak perlu repot jauh,Netral
sangat terpercaya,Netral
enak enggak harus mengantri ke samsat,Netral
sudah sangat memudahkan wajib pajak jadi enggak perlu antri bayar tapi tolong permudah lagi opsi pembayarannya dengan metode virtual account menu sudah ada tapi enggak aktif dan qris,Netral
apk yang sangat memudahkan masyarakat di tengah kesibukan tungkatkan terus pelayanan nya bapak yang bertugas di samsat,Netral
memudahkan jadi enggak perlu antri lagi deh terima kasih,Positif
cara menganti nik yang sudah terdaftar bagaimana,Netral
bayar pagi malamnya sudah sampai saja stnk nya di rumah mantap,Positif
sangat membantu dengan kemudahan pembayar on line dan cepat,Positif
pengiriman cepat,Positif
sudah bayar tapi stnk belum juga keluar bagaimana ya,Netral
terbaik dan mudah,Positif
mantap mudah dan cepat,Positif
mantap aplikasi sangat membantu,Positif
alhamdulillah stnk nya sudah sampai rumah pelayanan lumayan cepat dan mudah terima kasih samsat digital manta,Positif
lebih mudah enggak harus ke kantor samsat jadi lebih praktis dan hormat waktu,Positif
seminggu lebih sampai ke rumah dari tanggal konfirmasi tanggal ssmpe rumah,Netral
mudah digunakan,Positif
mantap,Positif
pokoknya mantap lah ditunggu update untuk bayar pajak tahun nya biar tidak usah harus ke kantor samsat sudah bisa ganti plat,Positif
kenapa mau bayar pajak error mulu mohon ditingkatkan kembali agar mempermudah pengguna terima kasih,Negatif
cepat dan pasti nyata ada nya enggak perlu repot enggak ribet,Negatif
mudah dan cepat prosesnya hanya hari dari pengajuan samsat banteng ke 𝗕𝗮𝗻𝗱𝘂𝗻𝗴 тєяιмαкαѕιн sіgᥒᥲᥣ padahal saya baru pertama kali menggunakan aplikasi ini,Positif
mau pajak kok sulit nya meminta ampun ktp harus sesai stnk ada yang sulit kenapa harus gampang,Netral
lebih mudah n enggak usah mengantri cuma tolong pengiriman nya sampai minggu mudah kedepannya bisa lebih cepat,Positif
buruk,Negatif
sesai yang diharapkan prosesnya mudah dan cepat tingkat kan lagi pelayanannya,Positif
kesulitan verifikasi karena foto muda di ktp beda dengan sekarang karena sudah faktor umur harusnya bisa mengidentifikasi kesamaan wlpun beda karena faktor umur,Netral
ada kemajuan dalam bayar pajak semoga kedepannya pengurusan balik nama dipermudah dengan cara online juga,Netral
sangat mudah digunakan dan praktis,Positif
joss,Netral
sip pembayaran pjk mtr mudah bukti pajak dikirim ke alamat beberapa hari kemudian,Positif
kendaraan yang bukan a n sendiri ternyata tidak bisa biaya yang harus dibayar hampir kali jumbal biaya pokok,Negatif
praktis bayar pajak tahunan,Positif
memudahkan bayar pajak walaupun pengirimannya lama,Netral
sangat cepat dan efisien,Positif
aplikasi signal ini benar benar membantu dalam perpanjangan perpajakan secara online jangan ragu sudah pasti asli perpanjangan stnk nya terima kasih signal,Positif
proses mudah dan cepat pengiriman cepat sudah berkali kali pakai app ini sangat memudahkan sekal mantap lanjutken,Positif
aplikasi buruk sangat sulit untuk verifikasi,Negatif
jadi mudah memperpanjang stnk enggak usah ke samsat nya tinggal di aplikasi saja mantap,Positif
terima kasih,Positif
aplikasi buat bayar pajak tapi enggak bisa cek pajak,Negatif
kenapa setelah update aplikasinya bermasalah begini mau melakukan pembayaran dari tanggal januari belum berhasil padahal pajak sampai tanggal januari kalau sudah begini bagaimana solusinya kena denda deh saya karena telat bayar,Netral
alhamdulillah aplikasi lebih memudahkan,Positif
lama sekal pengiriman nya,Netral
mantap memudahkan ketika kita sibuk dengan pekerjaan cukup bayar online,Positif
mantaab sat set sat set sampai deh,Netral
membantu ya bagus usul atau masukan saja kalau bisa kedepan misal ada telat satu dua bulan masih bisa bayar penggunaan aplikasi signal,Positif
fast respons,Netral
sangat mempermudah cuma hari stnk sampai ke rumah,Netral
layanan signal samsat digital sangat baik,Netral
cara hapus akunnya bagaimana ya soalnya saya daftar salah memasuki no nik tapi pas verifikasi pakai ktp kenapa lolos ya,Netral
terima kasih semoga program ini kedepannya semakin baik dan menyusul program lainnya berbasis online hilangkan syarat ktp biar bayar pajak semakin mudah dan pungli hilang lenyap menuju neraka,Positif
sangat sangat dapat dipercaya,Netral
mantap semoga bisa mencakup semua daerah,Positif
parah aplikasinya sudah pilih pengiriman yang express biar cepat ternya pas bertanya live chat dibutuhkan waktu hari kerja edan sama saja bohong orang mau cepat kacau sudah begitu saat mau pembayaran ada saja kendalanya pilihan layanan pemgiriman pas klik ganonggol sampai kali coba apknya tolomg diperbaiki sistemnya dan staff nya tolomg fast respons selalu tidak tersedia saat live chat apa guna nya ada live chat tapi yang balas mesin,Negatif
memudahkan dalam pembayaran,Netral
,Netral
sekarang bayar pajak jadi lebih gampang terima kasih,Positif
mudah dan praktis,Positif
sat set kerja ya mantap,Positif
nah mantap sekarang aplikasi signal enggak kayak tahun² kemarin aplikasinya cuman pajangan sip tingkat kan lagi dan pastikan keamanan data kita juga ya terima kasih,Positif
mantap terima kasih banyak atas informasinya,Positif
bagus untuk yang enggak punya banyak waktu buat antri antri,Positif
aplikasi yang sangat bermanfaat bayar pajak jadi enggak perlu jauh ke samsat semoga pajak tahunan juga bisa online atau minimal kantor samsat yang bisa bayar pajak tahunan diperbanyak sehingga ditiap kabupaten atau kota enggak cuman kantor,Netral
sangat membantu,Positif
sangat mudah dengan transaksi seperti ini tidak perlu mengantri dan bisa bayar di mana saja semoga yang lima tahunan juga bisa dilakukan transaksi seperti ini,Positif
cepat pengiriman,Positif
untuk verifikasi akun saja tidak bisa,Negatif
mempermudah membayar pajak lebih hemat waktu dan kalo bisa signal kolaborasi dengan semua metode pembayaran agar lebih memudahkan bagi yang tidak memiliki sama bangking,Netral
mantap sekal sangat sat set bayar pajak tanggal besok nya tanggal sudah sampai,Positif
alhamdulillah bersyukur banget jadi enggak pusing lagi soal mengurus pajak kendaraan terima kasih sudah memudahkan masyarakat,Positif
perpanjangan sangat mudah pengiriman juga aman mudah terima kasih signal,Positif
alhamdulillah pengiriman sampai rumah haturnuhun,Positif
ini keren sih mempermudah dan mempercepat proses perpanjang pajak kendaraan salah satu inovasi yang sukses menurut saya,Positif
nice mempermudah dalam pembayaran pajak,Netral
tidak membantu,Netral
mantap bayar pajak motor jadi mudah,Positif
terima kasih samsat,Positif
utamakan saat pengurusan dokumen jangan lama lama,Netral
sangat membatu sekal dengan pelayanan digital ini prosesnga mudah cepat dan aman sangat berguna sekal terutama untuk yang sedang merantau dan ingin perpanjang stnk,Positif
aplikasi ini sangat membantu dalam membayar pajak stnk aku sudah sampai dalam waktu hari terima kasih,Positif
bug dimana mana verifikasi akun pas foto ktp malah keluar sendiri terus keren aplikasi pemerintah nih bos,Positif
saya sudah melakukan pembayaran pajak motor secara online melalui aplikasi signal apakah jika akan mengambil surat pajak terbarunya diharuskan membawa stnk asli atau cukup menunjukkan bukti pembayaran dari aplikasi signalnya karena saya sekarang sedang berada di luar kota dan rencananya berkas tersebut akan diambil oleh salah satu anggota keluarga saya yang di palembang terima kasih,Positif
kenapa tahun ini enggak bisa bayar pajak tahunan dengan aplikasi ini padahal saya bisa bayar pakai aplikasi ini saat mau masuk tidak bisa,Negatif
prosesnya lumayan lama ya tapi jadi gaperlu mengantri sih,Netral
joss,Netral
mudah dan sangat membantu,Positif
bagus cepat enggak ribet,Negatif
signal samsat ok,Netral
sangat membantu khususnya bagi kendaraan yang berada di luar daerah asal penggunaan aplikasi ini juga cukup mudah,Positif
manta,Netral
sangat membantu masyarakat,Positif
mantap,Positif
selamat sampai tujuan dengan aman,Netral
erroorr setiap daftar keluar keluar terus aplikasi makin erroorr,Netral
sangat memudahkan bayar pajak cukup dari rumah dan stnk dikirim ke rumah,Netral
pembayaran pajak kendaraan bukan milik sendiri belum bisa digunakan padahal saya sebagai warga negara mau bayar pajak kendaraan roda empat yang bukan milik saya enggak mungkin saya jauh ke sumbar hanya untuk bayar pajak kendaraan terus gunanya signal apa,Netral
mempermudah,Netral
saya memcoba verifikasi email tapi tidak bisa karena kekurangan huruf l pada kata gmail seharusnya di aplikasi bisa edit ternyata tidak bisa jadi aplikasi signal tidak bisa di gunakan karena email verifikasinya salah,Negatif
cuma cek pajak saja lewat apk ini tapi pas mau bayar langsung ke samsat samsat menolak dengan alasan sudah melakukan pendaftaran online dan pihak samsat tidak bisa membatalkannya dari aplikasi juga enggak bisa dibatalkan,Negatif
mantap bayar pajak motor enggak perlu antri mengular seperti dahulu kala,Positif
aplikasi signal sangat membantu sudah bisa di pakai buat perpanjang pajak kendaraan alhamdulillah stnk sudah sampai sangat membantu dapat plastiknya lagi semoga kedepan lebih bagus lagi dan bisa perpanjang pajak tahan,Positif
sangat membantu disaat belum bisa pulang kampung,Positif
keren cepat banget enggak repot,Positif
aplikasi bobrok berulang kali verifikasi wajah tidak sesai dengan ktp,Netral
barang di terima,Netral
baik sekal terima kasih,Positif
mempermudah sekal bagi yang sibuk karena kerja proses mudah dan membantu sekal tinggal di rumah dan paket stnk datang kermh terima kasih ditingkatkan lagi aplikasi nya,Positif
aplikasi bayar pajak online sangat membantu untuk pekerja,Positif
joss sangat memudahkan,Netral
alhamdulillah lancar pertama kali bayar pajak kendaraan secara online sangat membantu jadi hemat waktu tenaga terima kasih signal,Positif
bagus,Positif
bayar jumat senin sudah sampai mantap mudah,Positif
lumayan membantu pengesahan pajak kendaraan,Positif
agak susah bayar pajak mobil second harusnya di permudah,Negatif
mudah cepat dan aman terpercaya,Positif
oke sih sebenarnya tetapi admin nya terlalu gede pengiriman sama platform yang kerja sama,Netral
enggak usah capek antri gampang cepat kurir juga pos indonesia,Positif
maaf saya ubah bintangnya karena aplikasi tidak bisa digunakan untuk bayar pajak setiap klik pendaftaran pengesahan stnk selalu keluar notif ridak berhasil di daftarkan,Negatif
good job pas bayar mobil cepat ini sabtu subuh bayar stnk motor sampainya rabu sore untung amplop alamat stnk terlihat di amplop karena sama alamat di luar amplop beda rt takut enggak sampai saja,Positif
dokumen di terima dengan baik sangat membantu buat saya yang ada di perantauan jadi enggak ribet mengurus nya,Negatif
alhamdulillah enggak usah ke jawa barat buat pajek tahunan mantap terima kasih platform lok saya di jateng motor plat jambar terima kasih,Positif
terbaik sejauh ini aplikasi instansi pemerintah an yang work dan terbaik mempermudah warga,Netral
semuanya serba gampang cuma dalam pengiriman saja yang lamaa,Netral
niat mau simple pakai aplikasi tapi nama di stnk malah salah sudah begitu ke samsat tidak bisa langsung di proses menunggu bulan,Negatif
sangat membantu enggak perlu antri berjam jam inovasi yang sangat bagus untuk memberikan kenyamanan warga negara saya tambah bintangnya,Positif
kapan signal khusus pt bisa dipakai aplikasi ini sangat mengefisienkan waktu,Netral
mantap indonesiaku,Positif
baru pertama kali coba perpanjang pakai aplikasi ini dan ternyata mudah banget enggak perlu repot mengantri hari sampai semoga kedepannya terus baik dan enggak ada kendala terima kasih,Positif
terima kasih signal yang mempermudah urusan pajak kendaraan bermotor untuk kesekian kalinya pakai aplikasi signal dokumen pkb diantar kurir pos kalo aplikasi sapa warga belum ada fitur cetak dan antar dokumen pkb,Positif
mantap sih bisa tunggu dirumah saja tapi prosesnya memakan hari jam kerja,Positif
alhamdulillah cepat pembyran pajak kendaraan by signal dalam waktu bukti pembyran sudah sampai ke tagan pemilik,Positif
akurat,Netral
sangat bagus dan memudahkan bayar pajak proses lumayan lama hampir minggu bayar tanggal baru selesai via pengiriman,Positif
manta sangat membantu dan memudahkan dalam proses pembayaran pajak kendaraan terima kasih signal,Positif
mantap mempermudah yang tinggal jauh di propinsi banteng,Positif
sangat membantu kaum mager,Positif
ternyata bayar pajak online itu lamaa proses ya padahal dari samsat balaraja ke curug doang dan pakai jasa pengiriman yang express,Netral
ui yang mudah dipahami,Positif
perpanjan stnk ke kali hasil memuaskan,Netral
bayar pajak saja susah biasa bisa online sekarang kenapa harus validasi nik ktp dan lain nya aneh dan harus balik ke manual,Negatif
aplikasi enggak berguna perpanjang pajak dari tanggal desember sampai sekarang tanggal januari masih enggak dikirim kirim terus sekalinya lapor costumer service penuh terus,Netral
aplikasi busuk masak tiap hari enggak ada perubahan enggak bisa buat bayar pajak kalo enggak bisa online di sini bilang saja enggak bisa jangan suruh hubung live cahaya tapi enggak membantu apa,Negatif
terbaik,Netral
baru daftar sudah gagal terus verifikasi gagal alasan foto ktp selfie berbeda buat daftar kelain saja bisa kok ini malah gaggaal,Negatif
terbaik,Netral
cukup simple mantap sekal,Positif
lebih gampang dan cepat lewat app ini kalau mau bayar pajak kendaraan,Positif
bagus jadi enggak mengantri n enggak pakai cuti buat urus ini tinggal pajak tahunan semoga saja bisa online,Positif
setiap check pajak kendaraan kok selalu gagal tidak ada layanan cobalagi terus,Negatif
mempermudah dalam pembayaran pajak kendaraan enggak usah ke macetan ke kantor samsat enggak usah mengantri dikantor samsat tinggal byr transfer dari rumah lewat apk signal byr ongkir admin bank ke menunggu harus duduk manis di rumah sampai deh tanda bukti pembayaran pkb,Netral
simple dan cepat enggak perlu antri,Positif
halo signal kenapa apk mu banyak sekal bug bikin susah buat daftar kendaraan sendiri susah banget nomor plat nomor rangka nik padahal sudah sesai dengan stnk tertulis gagal data nik dan stnk tidak sesai buat apa bayar pajak tahunan kalo sistem ngebaca nya data tidak sesai jadi duit pajak masuk kemana bukan ke negara kah kok bisa data di samsat nya beda di stnk dan bpkb semua sesai apk buat mempermudah rakyat malah bikin rakyat susah daftar kendaraan saja kaliprcoban,Negatif
bagus dan membantu hanya di aplikasi saat klik lacak tidak bisa melihat pengantar sampai mana,Negatif
mudah untuk bayar pajak tahunan tinggal kirim ke rumah tapi kok enggak dapat stiker pengesahan stnk ya sama enggak dapat plastik baru buat stnk padahal dulu saya dapat downgrade,Positif
cepat dan mudah,Positif
ijin pak kalau bisa permudahkan lagi untuk kami yang punya kendaraan dengan nama pemilik bukan nama kami sendiri untuk pengurusan bayar pajak dan mutasi cabut berkas atau keperluan lain dengan melampirkan bpkb stnk ajb dan lebih penting lagi aktivasi menggunakan pengenalan wajah serta ktp pak untuk meyakinkan bahwa kendaraan memang pure di beli dan bukan hasil pencurian menimbang adanya pungli kami harus membayar calo karena kendaraan yang kami beli bukan berada di daerah asal terima kasih pak,Positif
sangat mempermudah pembayaran pajak,Netral
oke pelayanan cepat dan mudah,Positif
mantap aplikasi signal ini menurut saya sangat membantu kalo tau cara dan prosedur nya simpel enggak ribet estimasi sampai stnk sampai cepat enggak sampai seminggu,Negatif
memudahkan orang taat pajak dan fast respons good job,Netral
sekarang sistem sudah ok pengiriman cepat mantap,Positif
penggunaan mudah pengiriman cepat hemat biya waktu dan tenaga terima kasih samsat semoga tetus maju,Positif
walah enak bayar pajak indak perlu photo copy indak perlu mengantri indak perlu cari parkiran tinggal transfer kelar semoga ada inovasi stnk seperti ktp indak perlu cetak tinggal scan qr atau nfc terlihat sudah bayar dompet jadi indak penuh kertas,Netral
sangat mudah digunakan saran sebaiknya dipakai h sangat berguna karena bisa bayar pajak motor tanpa ribet antri,Negatif
lebih memudahkan bayar pajak pengiriman juga cepat,Positif
pengalaman pertama pakai signal mantap mudah dan pengiriman cepat,Positif
proses pengirimanya lambat padahal ongkirnya termasuk mahal,Negatif
sangat mempermudah dalam pembayaran stnk tanpa harus libur kerja dulu bahkan stnk nya bisa diantar ke alamat rumah dan tanpa harus mengantri good job,Netral
alhamdulillah terbantu dengan adanya aplikasi signal ini bayar pajak kendaraan jadi lebih mudah biaya ringan bagi kami perantau ini enggak mesti pulang ke kampung halaman untuk membayar pajak terima kasih signal semoga semakin sukses kedepannya,Positif
stnk datang dalam kondisi amplop tidak di lem,Netral
sangat membantu sekal,Positif
mudah dan sangat membantu,Positif
mantap jiwa,Positif
buat semua bayar pajak sangat mudah dengan signal,Positif
aplikasi buat bayar pajak susahnya meminta ampun tapi meminta ke masyarakat supaya taat pajak bagaimana mau taat kalo fasilitasnya enggak mumpuni,Negatif
habis update jadi enggak bisa buat bayar,Negatif
setiap mau bayar pajak selalu ada pemberitahuan layanan tidak tersedia bagaimana ini mau sadar pajak kok di persulit,Netral
berharap yang tahun enggak perlu cek fisik ke samsat hehehe,Netral
sangat membantu bagi orang yang sibuk,Positif
mudah dan makin membaik tidak perlu datang ke kantor cabang karena sudah bisa via ekspedisi,Positif
mantap perpanjang stnk jadi lebih mudah,Positif
manta,Netral
mohon untuk samsat batu anam belum aktif di signal,Netral
alhamdulillah kerja jalan terus pajak lebih mudah terima kasih,Positif
good urusan jadi lebih mudah verifikasi sistem agak susah,Negatif
mudah cepat dan anti mengantri atau izin kerja,Positif
makin update good job memudahkan pembayaran pajak,Netral
pelayanan mudah dan sangat membantu,Positif
memudahkan dan lebih efisien waktu,Netral
tenyata mudah juga bayar pajak via online di aplikasi ini mantap semoga kedepannya lebih baik lagi dan konsisten dalam melayani masyarakat terima kasih,Positif
pelayanan baik dan cepat,Positif
aplikasi yang sangat membantu,Positif
aplikasi yang sangat membantu baru tau di tahun hehehe,Positif
goodd,Netral
saya mau bayar pajak enggak bisa ini kapan bisa di pakai aplikasinya lambat saya pajak yang dki jakarta,Negatif
mantap,Positif
sangat bernanfaat enggak ribet antri ke samsat wlw biaya admin bank nya lumayan tinggi enggak apa apa deh hehehhehehe,Negatif
signal mantap,Positif
aplikasi mudah dipahami pelayanan cepat,Positif
ini keren sih enggak harus mengantri tinggal tunggu di rumah stnk datang ke rumah lebih praktis tanpa mengantri recommended untuk yang jauh ke samsat bisa pakai aplikasi ini sangat membantu,Positif
enggak bisa lacak pengiriman pos id live chat juga blibet malah robot yang jawab sudah kayak aplikasi kosong enggak ada cs nya status bayar doang proses pengiriman stnk nya enggak tau sampai mana,Negatif
aplikasi babi bukan mmpermudah malah setahun verifikasi mulu enggak cocok photo selfie dengan ktp katanya susah kali mau mengasih negara ini uang semuanya dipersulit,Negatif
mohon di bantu saya sudah bayar pajak tahunan dari tanggal sampai sekarang belum di kirim ke alamat pengirim samsat pekanbaru barat untuk chat admin bantuan yang balas robot,Netral
cepat,Positif
app ini aneh mau bayar pajak di bulan jatuh tempo di halaman pajak kendaraan yang terdaftar di bisa keluar sedang untuk kendaraan lain yang masih lama pajak bisa keluar dan bisa bayar hubungan chat di over ke cat signal meminta photo stnk tetap tidak bisa mengatasi mohon penjelasan dari pihak terkait mengenai app signal ini sangat menyulitkan tidak mempermudah,Negatif
proses cepat dan mudah semoga bisa juga untuk bayar pajak tahunan mengurangi calo kalau bayar langsung offline,Positif
sangat mempermudah dan membantu,Positif
bagus,Positif
kode pembayaran tidak bisa digunakan dichat sama adminnya alasan daerah saya lagi pemeliharaan layanan cuih,Negatif
tidak bisa cek pajak kendaraan bermotor,Negatif
aplikasi parah saya sudah bayar pajak kendaraan disini tapi dokumen surat pajak kendaraan saya tidk juga dikirm sudah lebih bulan saya sudah lapor juga diemail tapi sampai sekarang belum juga dikirim sekarang sudah sampai malah oleh kurir dimintai biayanya ongkir sedang saya sudsh bayar biayaya ongkir diaplikasi,Negatif
verifikasinya pakai ktp dengan foto sekarang selalu gagal sekarang bb naik foto ktp pas kasih kurus bagaimana mau sesai,Negatif
mantap terima kasih terus berinovasi untuk mempermudah masyarakat indonesia taat pada pajak,Positif
proses transaksi masih pra collecting terus padahal pembayaran sudah sukses mohon di bantu min,Positif
lumayan bagi yang memiliki keterbatasan waktu,Netral
josjis,Netral
sangat memudahkan dalam pengurusan pajak,Netral
pelayanan baik dan proses pengiriman cepat,Positif
