review_text,label,label_encoded
baru dua kali bayar mesin apl tidak saja bayar komputer bisa cetak via aplikasi juga,Netral,1
sangat puass pelayanan via aplikasi bayar pajak jadi mudah langsung di antar sesai alamat yang di meminta,Positif,2
sah,Netral,1
desa tingkatkan kapasitas dan kemudahan,Netral,1
bisa nya anda semua yang di konfirmasi dalam sesai sama ktp seperti profil saya enggak bisa di konfirmasi,Negatif,0
gambar,Netral,1
kurang berkenan buka aplikasi nik nik patut meminta sandi nomor 10 masih usah mencemaskan,Netral,1
sangat mudah bayar pajak alat semoga pajak alat yang bisa pakai dengan susah payah bekerja 2 generasi kembali kemasyarakat dan tak saya gunakan,Negatif,0
cukup membatu ombak laut dalam kerja,Netral,1
tetapi tidak ada balasan,Negatif,0
aplikasi apaan ini dimasa ini jangan kita tutup malam sampai sampai tolol memang,Netral,1
pengiriman lama statusnya sudah selesai tapi stnk belum sampai ke rumah pengiriman lewat kantor pos indonesia,Netral,1
mantap sekal mempermudah dalam pembayaran stnk motor namun sekarang ditambah dengan biaya platform dan bank padahal terakhir saya bayar di biaya tersevut belum ada,Positif,2
sib lancar dan cepat prosesnya,Positif,2
sangat mudah sekal,Positif,2
ini kenapa ya saya mau pilih metode pembayaran kok lading terus padahal jaringan bagus mohon pencerahannya admin,Positif,2
sangat membantu,Positif,2
mantap samgat membantu,Positif,2
sudah daftar dengan ktp tapi masih harus verifikasi ke kantor kan namanya online,Netral,1
mantap proses nya cepat,Positif,2
benerin kenapa apliksinya error mulu,Negatif,0
sangat membantu sekal aplikasi simple enggak ribet proses cepat tambahkan fitur lain untuk mempermudah wajib pajak sebetulnya orang itu bukan enggak mau pajak tapi prosesnya yang dipersulit dengan adanya aplikasi ini mantablah simple enggak ruwet ada kemajuan bisa bayar pajak dari rumah pengiriman stnk ke rumah juga cepat,Negatif,0
berkas e tbpkp belum diterima kok sudah dinyatakan selesai mohon untuk pengawasan lebih lanjut terkait berkasnya karena saya belum menerima sama sekal namun dinyatakan sudah selesai saya sudah menghubungi dari email namun tidak ada pencerahan sama sekal dan tbpkp saya tahun ini tidak kunjung dikirim ke rumah,Netral,1
kenapa warna tnkb tidak tertulis,Netral,1
sangan rumah produksi,Netral,1
cuma terkendala di pembayaran masih susah kalau melalui mobilet bank terpaksa melalui pihak ketiga seperti shopee toped go pay,Negatif,0
semua urus pajak jadi lebih mudah banget terima kasih,Positif,2
imax mini film praktis,Negatif,0
cakep masih enggak pakai sudah antri ke kantor online dan online untuk diantr 2014 sekarang,Netral,1
thebest,Netral,1
sangat membantu,Positif,2
pokoknya signal jos sangat membantu sekal simpel enggak ribet menunggu antrian time is monay,Negatif,0
juga buat membeli aplikasi tapi enggak bisa cek pajak,Negatif,0
bagus sangat membantu,Positif,2
saya cuma bisa perpanjang yaitu setiap bulan pengesahan muncul tanpa bisa jelas daftarkan muncul berturut turut sampai bisa mengisi pajaknya,Negatif,0
prosesnya cepat dan tidak ribet,Negatif,0
sudah tidak perlu lagi datang ke samsat praktis bayar pajak kendaraan dimana saja topp lah,Positif,2
untuk proses ke pembayaran nya lama tidak muncul no rek untuk melakukan pembayaran padahal pakai wifi dan pakai data pun tetap memuat bagaimana mau perpanjang kalau untuk transaksi nya saja sulit,Netral,1
starbucks store enggak ribet tinggal menunggu sudah hari sudah hari sudah dekat,Negatif,0
good company yang hadir ke samsat,Netral,1
dari stnknya sangat langka padahal sekarang tersedia ongkir dan jalan yang masih kota,Negatif,0
tidak bisa cek ke kendaraan –,Negatif,0
sangat sederhana dan cepat dalam proses lalu bayar sekolah dengan enggak ekonomis,Negatif,0
yang tidak sama dikatakan andalkan,Negatif,0
sangat membantu,Positif,2
·,Netral,1
kok enggak bisa ya email nya susah ke kirim nya bagaimana mau kasih bintang full,Negatif,0
aplikasi nya bug terus enggak bisa bayar pakai dana,Negatif,0
membantu banget menyelamatkan ribet jadi cepat saji itu pun selesai,Negatif,0
baru mencoba kemarin hari langsung jadi manta,Netral,1
prosesnya simpel mesin terpecaya pun sekarang ini saya bisa seperti kalo mau membayar menggunakan motor lain aku masih kakak sudah aku bisa,Negatif,0
proses cepat pengiriman cepat tapi sayang biaya nya mahal dan dobel ada biaya platform ribu ada biaya bank ribu ongkir ribu tolong ambil untung nya jangan banyak coba ribu di kali warga yang proses kebanyakan ambil cuannya bos,Positif,2
proses cepat,Positif,2
ok,Netral,1
sangat membantu,Positif,2
keren,Positif,2
sangat membantu sekal lebih efisien t o p,Positif,2
sangat menyukainya tidak repot kaisar jepang ke 4,Netral,1
sangat membantu sangat mudah di gunakan,Positif,2
proses lambat banyak drama,Negatif,0
tidak mau ngirimnya tapi sekarang,Netral,1
studio mulai pertama,Netral,1
· ribet,Negatif,0
ok,Netral,1
sangat terbantu dan tidak di buat ribet mudah cepat juga,Negatif,0
sunshine,Netral,1
sangat mempermudah,Netral,1
oke tinggal di print mandiri,Netral,1
pengiriman cepat tapi belum diizinkan bekerja cepat dan tunggakan kalo boleh ada pilihan untuk yang ingin kerja 25 tahun atau lebih,Negatif,0
pilih kasih signal saya baru saja menggunakan aplikasi ponsel untuk menarik pajak tahunan kendaraan saya alhamdulillah proses pembelian dan pengiriman notice pajak nya bisa cepat dikirim walau beda pulau saran untuk saat proses pembayaran pakai trf penggunaan maupun beberapa opsi ini masih sering disalah tolong diperbaiko bagian pembayaran tersebut pakai oke ponsel ini terima kasih,Negatif,0
sangat membantu untuk pekerja yang tak punya waktu ke samsat langsung,Positif,2
hybrid,Netral,1
mantap,Positif,2
sangat indah dengan fasilitas dibawah tersebut semoga terus bertambah dan ditingkatkan,Netral,1
aplikasi gila,Netral,1
memudahkan mobilitas,Netral,1
sudah awalnya mencoba gagal bayar pajak motor tapi gagal pula lewat dana uang gopay maupun bank dompet istri,Negatif,0
terima kasih sangat dipermudah,Positif,2
ok enggak perlu mengantri becak kurang ada waktu perjalanan,Netral,1
kenapa verifikasi gagal terus bertuliskan foto profil tidak sesai dengan ktp astaga sudah coba berkali kali gagal terus padahal sudah ikut arahan berkedip dan tersenyum,Negatif,0
sel normal kembali,Netral,1
kwang ok enggak ribet pakaian aksesoris,Negatif,0
pengiriman e tbpkp lamaa banget prosesnya,Netral,1
mantap layanan cepat tepat dan menyenangkan enggak perlu lagi antri di loket,Positif,2
mantap cukup taltul hp enggak perlu ke berebes langsung bisa dikirim ke bengkulu,Positif,2
pelayanan secara online cepat dan dikirim sesai alamat tujuan terima kasih,Positif,2
aplikasi yang sangat berguna ternyata para weekend tidak bisa melayani pembayaran dan para chapter menambah sistem untuk pembayarannya,Negatif,0
bagus,Positif,2
lebih cepat menjadi ribet,Negatif,0
mudah dan tidak ribet dan langsung di kirim ke alamat kita,Negatif,0
banyak mulu,Negatif,0
serius dari awal daftar di aplikasi anda selalu berhasil dan selalu gagal bayar sudah sesai prosedur yang di sarankan loh massa iya hanya cari foto di ktp massi muda dan saat selfie terlihat bisa jadi gagal buat daftar harusnya saat log ini hanya lewat hp dan nomor hp yang aktif kecuali saat akan berhenti jual transaksi jujur dari log bersih di aplikasi ini saya jadi [UNK] akan kebocoran data warga negara yang taat pajak,Negatif,0
meski suka eror tapi transaksi sukses juga harap ditingkatkan kembali perbaikan aplikasi,Positif,2
expedisi kayanya perlu di ganti,Netral,1
manta,Netral,1
sangat memudahkan,Netral,1
tolong dong saat verifikasi ulang pas mau foto ktp terus keluar dari aplikasi,Netral,1
top markotop pokoknya cepat jadinya,Positif,2
mempermudah pembayaran pajak semoga pembayaran pajak tahunan semoga bisa juga,Netral,1
mantap sangat membatu,Positif,2
sangat membantu,Positif,2
manta,Netral,1
sangat memudahkan masyarakat jaya selalu polri tetap bersinergi,Netral,1
aplikasi tetapi kena deh baru di daftar akun gagal terus katanya kena file terdaftar dispenduk padahal klik jelas di daftar file,Negatif,0
mempermudah karena tanpa harus datang ke samsat terutama bagi para perantau luar kota luar provinsi,Netral,1
kukira dengan adanya aplikasi bisa jadi ada dan h sama datang lagi samsat buat validasi nik ko k ini itu lah mengapai karena datanya sudah ada ribet f,Negatif,0
ok pokoknya,Netral,1
respons jelek pelayanan payah aplikasi pemerintah tapi boleh sampai sudah bayar mahal mahal untuk perpanjangan kapal tapi jangan sampai ke rumah merdeka tanggal desember dan sekarang belum ada kabar susah payah sekal pelayanan pemerintah ini jelas via pos tidak payah tidak ada kelanjutan sampai sekarang kalian perwakilan rakyat tapi tidak melayani dengan baik parah sekal,Negatif,0
mantap sekal pulang solat subuh langsung sudah bayar enggak tukang ongkos enggak tukang mengontrak kantor samsat kalau di teliti bisa menggangu pajak atau pekerjaan lainnya,Negatif,0
alhamdulillah mantap seminggu jadi enggak perlu repot repot mengantri di samsat,Positif,2
mudah akuntabel,Positif,2
pengirimannya lama gak istirahat jaktim tapi kenapa paket kita di cabang kota batam sekarang,Netral,1
bukan lagi cinema kah film ini mati proses kok enggak bisa ya,Negatif,0
roses enggak rumit cepat banget,Positif,2
mantap semoga bisa urus pajak tahunan,Positif,2
niat jadi pada pajak ongkos proses masih ribet kontrak kerja kebanyakan ongkos admin,Negatif,0
bagaimana sih suka error begitu aplikasinya,Negatif,0
juga perlu pagar pagar kampung buat bayar pajak,Netral,1
terima kasih atas pelayanannya mengabdilah demi kemajuan bangsa dan negara jangan mengutamakan uang saja,Positif,2
2 bisa daftar berakhirnya login plus min lagi berakhir,Negatif,0
baray pajak lebih mudah tidak perlu datang ke samsat kalo kita tidak ada waktu proses nya pun cepat,Positif,2
enggak melakukan verifikasi gagal besar,Negatif,0
top,Positif,2
sangat memudahkan pengurusan pajak kendaraan bermotor sarannya untuk adanya fitur pengurusan pkb non ktp pemilik terima kasih pak polisi dan pak samsat,Positif,2
pak balaraja tidak mempunyai istri saya padahal dia mati 9 tahun sekarang mau bayar lagi enggak bisa karena tidak punya uang jadi banteng aplikasi pemerintah cuih,Negatif,0
bayar pajak jadi makin mudah,Positif,2
aplikasi yang sangat berguna untuk masyarakat enggak ribet dan sat set bagi orang sibuk dan jauh dari kantor samsat memang sangat membantu sekal semoga pelayanan publik yang lain bisa meniru aplikasi ini,Negatif,0
pelayanan yang sangat membantu,Positif,2
kok kas i sih bpk tahun peraturan baru bayar kepala saja jadi registrasi nya sudah mau mau daftar pns,Negatif,0
x 1 ribet,Negatif,0
kadang sistem sering erorr dan lambat tapi ini aplikasi sangat memudahkan banget simple juga thkyou,Negatif,0
prosesnya cetak lama,Netral,1
gampang sekal,Netral,1
mantap,Positif,2
terima kasih signal lebih mempermudah pengurusan tidak harus datang ke tempat,Positif,2
terima kasih sangat membantu,Positif,2
aplikasi signal sangat keren dan membantu banget buat bayar pajak aku rekomendasikan ke keluarga dan rekan kerja sangat membantu dan efektif bagi para pekerja karyawan yang padat karena pekerjaan,Positif,2
masya allah semoga dengan adanya aplikasi ini bisa meringankan waktu saya dalam wajib bayar pajak kendaraan penggunaan aplikasi mudah dan bukti pembayarannya bisa diantar melalui pos indonesia,Positif,2
mantap nyaman aman jauh dari pungli,Positif,2
dengan begitu dia gagal mulu ya,Negatif,0
aplikasi sompret susah banget mau majek aku berapa giliran ku ada isi buat registrasi malah jadi ganti pakai tapi sekali ini artinya mah sudah hari begitu mulu jawabnya sompret,Negatif,0
infonya data kependudukan tidak sesai padahal semua data sudah sesai enggak tau apalagi yang mesti dilakuin,Netral,1
dengan menganti nik yang sedang disiapkan bagaimana,Netral,1
alhamdulillah sangat terbantu pembayaran pajak online tanpa datang antri terus bisa di antar ke alamat rumah top,Positif,2
bagus,Positif,2
genre drama,Netral,1
dengan adanya aplikasi ini mudah banget buat bayar pajak sudah tahun saya bayar pajak pakai aplikasi ini dan enggak perlu pulang kampung mengurusi pajak,Positif,2
ok,Netral,1
lama pengiriman tidak ada info dari aplikasi,Netral,1
aplikasi bayar pajak online sangat membantu untuk pekerja,Positif,2
atau beberapa orang tidak membayar pajak bukan karena alasan pajak pemasaran karena pajak dengan aplikasi ini jadi ekonomis,Netral,1
kok jarang berkeliaran di kendaraan biasa di aplikasinya enggak muncul,Negatif,0
baru bayar di h lembar bukti bayar lngsng di terima pas hari h sudah tahun ini yang diterima tanpa ada stiker hologram nya,Netral,1
server jelek bisa jadi kotor terputus,Negatif,0
aplikasi yang bikin enggak buang waktu ke samsat,Netral,1
aplikasi yang mantap sangat membantu walaupun kita jauh dari alamat domisili,Positif,2
mohon dibantu pengguna tidak habis ganti klik pilih samsat dan jenis kelamin,Negatif,0
tahun lalu bagus tahun ini saya coba daftarkan pengesahan stnk dari aplikasi signal selalu gagal,Negatif,0
good job semua tidak ribet dan lancar cuma terkendala di pengantaran dari pihak pos indonesia mereka tidak tepat waktu dan kita tidak bisa menghubunginya,Negatif,0
aplikasi signal otomotif kita dalam mambayar festival tahunan perahu bermotor bravo 1995,Netral,1
bagus akurat sekal,Positif,2
buat daftar akun saja muka susah dikenali sudah selesai berkas malah suruh ulangi belum lagi pengesahan pendaftaran stnk juga enggak bisa harus hubungi juga susah hubungi malah diminta data diri tapi ujung com cuma ada chat bot enggak usah ganti ya tapi niat mempermudah apa enggak gunakan,Negatif,0
mantap,Positif,2
lumayan terbantu kenapa cukup mengesalkan akhir tahun dan karena awal adanya giliran kita lambat bayar kena denda giliran mereka telat kirim lebaran sekarang kemudian yg ada apa apanya untuk dievaluasi ulang,Negatif,0
lama saat pengiriman pos expressnya itu juga bantuan cs posnya baru langsung ditindaklanjuti,Netral,1
sangat membantu,Positif,2
layanan bisa berjalan tapi lambat akhirnya pengiriman mohot dibuat bentuk lagi,Negatif,0
mudah dan lebih efektif,Positif,2
tolong perbaiki kita lebih taat toleransi pajak 100 saja sedikit,Negatif,0
menghemat waktu cuma agak sedikit harap harap cemas karena baru pertama menggunakan aplikasi ini dan stnk nya terkirim ke alamat yang dituju minimal hari terima kasih aplikasi signal stnk nya sudah keterima,Positif,2
baik,Netral,1
bayar pajak tahunan jadi lebih mudah,Positif,2
bayar pajak lewat aplikasi ini apply tanggal tanggal nya datang mantap deh pokoknya pengirimannya juga cepat terima kasih signal terima kasih juga buat samsat bogor,Positif,2
bagus sangat membantu untuk yang sibuk,Positif,2
sekarang bayar pajak enggak perlu repot datang ke samsat sudah mudah melalui aplikasi signal pokoknya mudah dan cepat,Positif,2
bintang dulu lalu kok kok dulu enggak dulu stiker validasi,Netral,1
aplikasinya keren sangat membantu masyarakat kecil kalau bisa tolong dimasukkan juga pajak kendaraan yang bukan atas nama,Positif,2
kedepannya untuk masuk sekolah jadi seperti biasa tentunya tanpa harus mengganggu kesan kemari n n ada pungli hanya untuk check fisik,Netral,1
membantu,Positif,2
aplikasi hiburan dinikmati warga yang tidak bisa bertemu langsung di kantor samsat,Negatif,0
assalamualaikum pak admin mohon juga saya bayar lalu buat geng motor bagaimana cara refund pertama transfer lewat open signal namun spk 3 eror tidak bisa lanjut padahal tidak bayar lalu saya belum lagi saya ofline di mall ke publik karena samsat lagi ada kendala pembayaran terima kasih,Negatif,0
aplikasi sampai masuk secara umum masih banyak kendala enggak bisa perkenalan diri dengan aplikasi lemot non eror sama sekal belum mendaftar dan,Negatif,0
mantap baru kali ini bayar pajak mudah dan enggak repot,Positif,2
kali ini sering dilaksanakan sampai rumah selamat datang semoga ya lebih baik kita,Netral,1
pajak disini baru pakai ini jadi berpenghasilan enggak nyaman dan praktis,Negatif,0
saya sudah pilih diambil di samsat bukan dikirim eh giliran ke samsat suruh print sendiri buang buang waktu kan kalo tau begini enggak distempel pula stnkb nya ino pelayanan publik tapi sistem nya hancur begini uang pajaknya kan banyak perbaiki dong sistem nya yang efisien begitu lho,Netral,1
enggak perlu datang ke samsat lagi untuk pajak tahunan,Netral,1
katanya online tapi tetap disuruh datang ke samsat nya untuk verifikasi itu namanya offline pak sistem kok buat ribet,Negatif,0
saya daftar kok vermuk enggak bisa terus aneh padahal cahaya juga sudah mendukung,Negatif,0
kali ini juga bisa verifikasi alasan parkir ktp tanpa ganti foto selfie woyy dulu gue kurusan dan tahun sama yang sama sekarang tapi,Negatif,0
ok membantu kaum pekerja,Positif,2
mantap,Positif,2
pelayanan lambat,Negatif,0
agak banyak juga sudah,Negatif,0
sangat membantu,Positif,2
belum pernah,Netral,1
bayar pajak dipermudah jadi bisa di lakukan di mana saja dan tidak berbelit belit,Netral,1
aplikasinya sudah bagus dan sangat membantu hanya saja prosesnya pada saat pengesahan sangat lambat,Negatif,0
dan lambat dan juga type nya lain tetapi perhatikan oleh tipe pekerja nya siapa saja tau,Negatif,0
mantap aplikasi membantu memudahkan masyarakat untuk membayar pajak menghemat waktu,Positif,2
pelayanan yang sangat cepat dan transparan saya berharap semua pelayanan publik bisa mengikuti hal positif ini terima kasih,Positif,2
juga rekomendasi banget buat dalam mau bayar pajak tapi malas dan yang membuang waktu dalam mau samsat nya,Netral,1
gak jadi jangan jadi serba online mantap enggak gak gak online sekarang no,Negatif,0
sangat populer,Netral,1
verifikasi email tidak bisa cs hanya office hours seharusnya jam dengan sistem shifting jadi jam berapapun ada kendala bisa langsung di selesaikan masa kalah dengan aplikasi swasta verifikasi email saja ribet sekal telat masuknya saya verifikasi dibilang kadarluasa padahal di menit yang sama saya klik payah,Negatif,0
alhamdulillah dengan adanya aplikasi signal pembayaran pajak kendaraan motor semakin mudah dan hemat waktu semoga bangsa ini terus berbenah ke arah yang lebih baik dan sudah tidak ada pungli sama sekal,Positif,2
karena ada aplikasi ini jadi mempermudah untuk perpanjang stnk pembayaran pajak jadi enggak perlu lagi ijin kerja untuk ke samsat bisa pengiriman juga via kantor pos,Netral,1
aplikasi yang sangat membantu dan mudah menggunakannya,Positif,2
1999,Netral,1
aplikasi tidak berguna banyak bug nik dan email sudah terverifikasi malah meminta verifikasi di samsat secara offline sudah ke samsat malah pegawainya bingung,Netral,1
mantap bayar pajak jadi garibet,Negatif,0
praktis,Positif,2
lumayan mudah aplikasi ya enggak perlu ribet antri ke samsat,Negatif,0
proses yang pendek sekali tidak ada gunanya transaksi yg bisa dilakukan disemua platform kode pembayaran terjadi dan transaksi tidak ada hapus saat ini apk bukannya proses yg mempersulit,Negatif,0
pengiriman dokumen lama bayar tanggal des terima dokumen tanggal des biaya dokumen cukup mahal ribu padahal jarak dekat di tengah kota,Netral,1
tidak mau mendaftar akun resmi tapi sayang enggak kan ya angkat harus lapor ke terminal,Negatif,0
lebih muda dan terpercaya samsat ok,Netral,1
cepat dan pasti nyata ada nya enggak perlu repot enggak ribet,Negatif,0
berulang ulang saya belum bisa membayarnya malah itu demikian lagi,Negatif,0
aplikasi ribet 2015 daftarin motor bmw siemens 2013,Negatif,0
lebih mudah hanya dengan mager,Positif,2
saya mau daftar malah gagal di karenakan e ktp tidak sesai padahal ektp sudah sesai di dukcapil mohon dong bagaimana ini,Negatif,0
keren,Positif,2
pengiriman stnk sangat lama sampai minggu padahal satu kabupaten,Netral,1
mantap,Positif,2
mantap deh pokoknya,Positif,2
keren,Positif,2
tidak bisa untuk menambahkan data kendaraan pengiriman lambat dan tidak ada konfirmasi jika kendala kiriman,Negatif,0
apk ya ok bot bisa recom prosesnya memang tinggal sedikit klik tf tapi mesinnya masih bisa complain sekali jadi kmna evn hanya nya ok bot,Negatif,0
untuk verifikasi akun saja tidak bisa,Negatif,0
hybrid,Netral,1
mantu,Netral,1
ada kemajuan dalam bayar pajak semoga kedepannya pengurusan balik nama dipermudah dengan cara online juga,Netral,1
biaya dalam proses bayar jasa kendaraan adalah,Netral,1
proses cepat dan mudah terima kasih,Positif,2
terima kasih dengan pelayanan online kami bisa menyingkat waktu tidak perlu pergi ke luar propinsi hanya pelayanan perlu ditingkatkan supaya bisa lebih cepat prosesnya saya hampir hawatir takut jika proses kadaluarsa,Positif,2
cepat banget sampenya keren,Positif,2
sangat bagus mudah dan cepat prosesnya,Positif,2
tolong lah di perbaiki lagi yg jadi pembayaran pajaknya saya belum di perbarui sudah menunggu harian belum selesai di proses sekarang semua kan saya berkurang 1 atm tapi tetap juga enggak tidak perbarui mau pindah kapan bisa terus,Netral,1
banyak sekali jadi kendaraan,Negatif,0
mantap,Positif,2
kalo bisa jasa pengantaran nya jangan kantor pos sebab punya saya di kirim ke orang lain entah siapa menerima jadi saya harus langsung ke kantor pos untuk mengurus dan menjemput nya sendiri,Netral,1
stnk sudah sebulan lebih belum sampai juga ini bagaimana tanggapan nya min,Netral,1
cepat pelayanannya cepat responnya aplikasinya sangat terbaru untuk jajaran kepolisian tersebut melayani masyarakat yang akan kunjung datang pada perpanjang,Negatif,0
stnk nya sampai dengan aman cuman tidak langsung di bungkus dengan plastik,Netral,1
2 4 ok sekal mundur dari pos indonesia nya nya tepat,Netral,1
keres cepat mantap,Positif,2
gampang mudah dan cepat sampai,Positif,2
bermanfaat,Netral,1
mantap,Positif,2
mantu byar pajak jadi mudah pengiriman sukses terima kasih samsat digital okee,Positif,2
untuk proses pegirima cepat dan baru kali ini mengunakan aplikasi apa bisa untuk yang tahunan ya,Positif,2
yang niat bang kalo bikin apk seperti ini ini saya sudah bayar pajak dan pengin dikirim ke rumah sudah bulan enggak sampai rumah bagaimana sih pembayaran juga sudah sesai agar dokumen nya dikirim kan kerumah,Netral,1
tingkatkan jangan dilakukan sistem online agar tidak berkembangnya pelayanan yang prima dan real time,Netral,1
yang biasa adalah jika uang tersebut sudah dibuat dan diaktifasikan dan mempermudah bagi pelanggan yang belum mendapatkan antre di kantor baru dan meminimalisir denda karena keterlambatan pembayaran,Negatif,0
enggak bisa buat akun keterangan data dukcapil enggak valid padahal data sudah sesai,Negatif,0
pembayaran terus terus,Negatif,0
sangat sangat membantu memudahkan masyarakat yang mau taat bayar pajak kendaraan jujur saya sangat terbantu sekal dengan adanya aplikasi ini andai semua pengurusan menggunakan aplikasi seperti ini saya rasa akan sangat² membantu seperti mengurus ktp kakak akte dll,Positif,2
tapi tanpa pajak pakai app ini sengaja dibuat kertas pertukaran antar tapi surat dokumen enggak di antar antar di kejari pakai email baru dan itu pun lambat jadi kasih bintang tentu lah bisa nya mau tapi karena di pihak juga kasih bintang enggak saran buat yang mau urus bisa lebih bagus dokumen jemput ke samsat daripada emosi lihat mafia mafia ini,Negatif,0
untuk konfirmasi di email sudah kirim ulang dari appk ke email terus sampai kali ini kalo di klik kok kadaluarsa terus bagaimana ndan caranya agar konfirmasi email terkonfirmasi trmksh semoga di balas dan di arahin petunjuk cara agar supaya konfirmasi email terkonfirmasi terima kasih,Positif,2
sangat mempermuda dan hemat waktu,Netral,1
kenapa sekarang kalau gila plat kendaraan kerja co nomer kakak nya marah enggak menyuruh tolong solusinya sudah menghubungi cs belum ada respons,Negatif,0
aplikasi genie mulu mungkin mau menerima pajak,Negatif,0
maaf sebelumnya saya mau tanya saya sudah melakukan pembayaran dari bulan april tapi kenapa sampai sekarang stnk belum dikirim terima kasih,Netral,1
isi data game lancaarr saat mau bayar pilih bni maupun baca lading yang meminta ampun lamaa banget mengaku enggak kebuka alhasil saya tetap tidak bisa bayar terima admin bisa segera bayar game ini jangan juga berusaha memungut pajak online malah kesulitan bayar tambah,Negatif,0
sangat bagus sopir kendaraan yang pekerja masjid jumat susah mencari tenaga buat mengurus disamsat,Negatif,0
aplikasi sangat mudah di akses tumben banget nih aplikasi punya pemerintah berfungsi dengan baik dan memuaskan,Positif,2
sangat bagus dan memudahkan bayar pajak proses lumayan lama hampir minggu bayar tanggal baru selesai via pengiriman,Positif,2
